Age,Gender,Job Type,Daily Social Media Time,Social Platform Preference,Number of Notifications,Work Hours per Day,Perceived Productivity Score,Actual Productivity Score,Stress Level,Sleep Hours,Screen Time Before Sleep,Breaks During Work,Uses Focus Apps,Has Digital Wellbeing Enabled,Coffee Consumption per Day,Days Feeling Burnout per Month,Weekly Offline Hours,Job Satisfaction Score
59.0,Female,Finance,1.68,Twitter,67.0,9.81,3.82,4.32,3.0,8.63,0.29,5.0,True,False,2.0,2.0,3.91,3.72
27.0,Female,Education,2.71,Facebook,66.0,10.73,2.05,1.8,9.0,7.23,1.71,6.0,True,True,1.0,18.0,8.68,1.46
36.0,Female,Student,0.71,Instagram,67.0,5.43,5.63,4.42,8.0,3.59,0.97,6.0,True,False,2.0,15.0,31.65,3.52
20.0,Female,Finance,1.9,TikTok,60.0,5.34,8.44,7.74,4.0,5.18,1.44,8.0,True,False,1.0,8.0,18.17,7.89
22.0,Female,Finance,2.44,TikTok,52.0,8.12,6.7,5.76,6.0,4.26,0.0,5.0,False,False,2.0,7.0,20.03,5.79
44.0,Female,Student,1.25,Facebook,50.0,5.43,8.33,7.74,4.0,5.26,1.66,4.0,False,True,2.0,22.0,14.82,7.14
33.0,Female,Unemployed,4.1,Telegram,73.0,5.12,3.18,3.31,2.0,8.26,0.82,1.0,True,True,0.0,24.0,25.18,2.84
32.0,Male,IT,2.52,Instagram,60.0,3.94,4.1,3.2,7.0,8.06,1.84,3.0,True,False,5.0,23.0,18.36,3.84
52.0,Male,Health,3.76,Instagram,72.0,9.12,6.79,5.82,8.0,7.33,0.6,1.0,False,False,4.0,0.0,7.73,5.8
51.0,Male,Finance,6.46,TikTok,65.0,5.61,5.24,4.46,5.0,6.17,0.11,6.0,True,True,1.0,7.0,28.51,4.71
40.0,Female,Education,1.42,Instagram,54.0,4.8,2.66,2.95,9.0,5.76,1.72,8.0,False,False,3.0,30.0,17.87,2.6
48.0,Female,Student,4.93,Facebook,64.0,9.98,4.52,4.57,8.0,6.99,1.55,9.0,True,False,3.0,31.0,14.11,2.2
37.0,Male,Health,2.47,Telegram,54.0,6.59,8.25,7.48,10.0,6.63,1.22,0.0,True,False,3.0,22.0,18.72,7.61
40.0,Male,Health,3.57,Instagram,43.0,6.02,8.17,8.14,10.0,5.69,1.06,2.0,False,False,2.0,5.0,2.97,8.48
40.0,Female,Education,2.28,Telegram,54.0,11.97,2.26,2.77,6.0,6.28,1.04,0.0,True,False,2.0,29.0,1.27,3.03
18.0,Male,Finance,3.99,TikTok,51.0,6.49,5.81,5.11,4.0,4.15,0.28,3.0,False,False,2.0,31.0,22.57,5.13
42.0,Male,Health,6.64,Facebook,49.0,5.53,4.04,3.47,5.0,6.26,1.13,3.0,False,False,3.0,7.0,0.0,3.65
47.0,Male,Education,2.65,Instagram,76.0,3.28,4.4,4.54,10.0,6.45,0.7,1.0,True,False,1.0,4.0,16.8,4.76
20.0,Female,Student,1.45,Facebook,52.0,3.54,8.57,7.59,6.0,8.62,1.35,0.0,False,False,0.0,31.0,3.54,7.72
42.0,Male,Student,0.65,Facebook,59.0,7.59,5.54,4.46,4.0,7.43,0.25,2.0,False,False,2.0,10.0,7.94,4.06
37.0,Male,Student,2.15,Facebook,58.0,6.82,5.69,5.0,2.0,7.58,1.3,3.0,False,False,1.0,2.0,14.52,4.78
39.0,Female,Health,0.8,Facebook,62.0,8.47,3.06,2.04,10.0,8.31,0.82,6.0,False,False,2.0,22.0,9.08,3.1
50.0,Female,Finance,1.57,Twitter,75.0,4.37,5.55,5.36,5.0,6.44,1.1,3.0,True,False,1.0,20.0,0.0,5.31
55.0,Male,Education,2.33,Telegram,60.0,6.44,5.96,4.81,3.0,6.33,1.58,2.0,True,True,1.0,15.0,18.13,4.01
32.0,Male,IT,2.8,Facebook,62.0,10.24,6.87,7.37,2.0,6.95,0.49,3.0,False,False,0.0,10.0,9.96,6.95
32.0,Male,IT,0.9,Telegram,60.0,8.8,6.32,6.31,7.0,4.33,2.04,7.0,False,False,1.0,5.0,12.84,6.45
42.0,Male,Education,5.46,Facebook,53.0,10.04,4.75,4.13,7.0,6.53,1.81,4.0,False,False,2.0,3.0,19.6,3.97
38.0,Female,Finance,5.41,Telegram,69.0,9.97,8.79,8.17,6.0,5.46,0.72,3.0,False,False,1.0,30.0,2.0,8.02
23.0,Female,Health,1.74,Facebook,52.0,5.24,8.17,7.48,5.0,6.24,1.38,5.0,True,False,4.0,25.0,21.89,7.63
60.0,Male,Health,4.41,Facebook,68.0,6.97,6.12,5.68,6.0,7.64,1.77,5.0,True,False,0.0,26.0,15.51,5.53
65.0,Female,Education,3.65,Telegram,54.0,9.78,3.76,3.22,1.0,6.04,0.56,8.0,False,False,3.0,0.0,8.81,1.96
61.0,Female,Student,4.41,TikTok,55.0,4.6,4.92,4.2,5.0,5.5,0.94,7.0,True,True,2.0,25.0,11.66,5.08
40.0,Male,Finance,2.96,Instagram,73.0,9.82,2.8,3.08,8.0,5.76,0.19,1.0,True,False,2.0,18.0,6.07,3.49
44.0,Male,Health,1.94,Telegram,65.0,9.82,4.22,3.76,7.0,7.66,1.47,3.0,False,True,6.0,27.0,5.93,2.92
38.0,Female,Finance,1.86,Telegram,67.0,8.02,7.96,5.62,3.0,9.04,0.0,8.0,False,False,1.0,23.0,15.13,5.87
45.0,Female,Health,4.49,Facebook,69.0,7.15,2.48,3.16,1.0,5.98,0.46,4.0,False,True,0.0,0.0,11.14,2.22
52.0,Female,Finance,17.73,Telegram,60.0,9.63,4.44,4.03,3.0,8.13,0.34,10.0,False,False,6.0,10.0,3.9,4.02
39.0,Female,Unemployed,5.58,Facebook,79.0,5.43,8.34,7.03,5.0,5.4,0.84,1.0,False,False,0.0,5.0,14.11,6.88
57.0,Female,IT,5.59,Instagram,64.0,7.75,3.37,4.01,1.0,4.97,1.62,8.0,False,True,1.0,8.0,10.97,4.8
57.0,Female,Health,3.22,Telegram,60.0,5.34,3.63,3.14,8.0,10.0,0.4,2.0,True,False,2.0,29.0,12.79,2.52
42.0,Male,Health,2.89,Twitter,70.0,8.14,4.83,4.56,10.0,5.87,0.51,6.0,False,False,1.0,19.0,5.1,3.94
28.0,Female,Health,2.17,Twitter,64.0,3.92,2.73,3.09,9.0,7.23,0.78,6.0,False,True,1.0,18.0,10.84,5.1
22.0,Female,Unemployed,6.35,Telegram,75.0,5.22,3.41,3.42,10.0,7.66,0.69,8.0,False,True,1.0,5.0,4.67,3.89
62.0,Male,Student,5.46,Twitter,53.0,6.75,2.75,1.52,4.0,9.21,0.03,6.0,False,True,1.0,12.0,17.92,1.11
54.0,Female,Education,3.06,Facebook,51.0,9.12,2.14,2.57,7.0,5.16,1.29,0.0,False,False,1.0,10.0,9.12,1.8
62.0,Female,Unemployed,1.24,TikTok,44.0,6.06,2.85,2.05,4.0,5.46,0.0,0.0,False,False,4.0,21.0,6.45,1.19
55.0,Female,Student,3.69,TikTok,52.0,5.47,8.92,7.36,3.0,5.4,1.19,4.0,True,False,2.0,28.0,8.93,6.48
26.0,Female,Student,4.17,Twitter,61.0,5.01,4.85,4.28,9.0,3.6,2.07,2.0,False,False,0.0,10.0,15.27,3.45
65.0,Male,Unemployed,0.68,Instagram,61.0,10.8,7.64,7.41,9.0,6.45,0.51,1.0,False,True,3.0,9.0,14.77,7.04
19.0,Male,Unemployed,5.71,Telegram,63.0,7.2,6.74,6.26,5.0,6.29,0.2,8.0,False,False,5.0,28.0,13.63,6.2
18.0,Male,Student,1.85,Twitter,50.0,6.77,6.67,6.51,8.0,8.17,1.33,0.0,True,False,1.0,11.0,15.22,4.61
57.0,Male,Unemployed,1.21,Facebook,71.0,6.46,8.34,7.72,5.0,7.96,0.98,7.0,True,False,3.0,15.0,7.33,7.63
45.0,Male,IT,1.31,Twitter,52.0,8.53,3.95,3.98,7.0,7.44,0.62,7.0,False,False,5.0,0.0,10.29,5.34
61.0,Male,Finance,3.74,Telegram,55.0,8.03,7.59,6.83,8.0,8.08,2.06,3.0,True,False,5.0,15.0,18.12,7.8
29.0,Male,IT,2.14,Twitter,64.0,8.38,4.85,4.46,8.0,8.92,1.84,4.0,False,False,4.0,16.0,15.77,3.31
25.0,Male,Finance,5.04,Telegram,62.0,8.04,8.72,7.63,3.0,6.19,0.71,0.0,True,False,4.0,3.0,24.6,6.34
45.0,Male,Unemployed,4.62,Twitter,58.0,7.17,5.77,5.45,6.0,7.63,0.67,8.0,False,False,4.0,11.0,30.37,5.64
47.0,Male,Education,1.65,Instagram,64.0,9.08,2.48,2.51,4.0,6.75,0.27,4.0,False,True,2.0,15.0,15.64,2.27
26.0,Male,Finance,6.69,TikTok,57.0,6.97,2.9,2.54,8.0,5.82,0.75,9.0,False,False,3.0,27.0,7.1,2.81
56.0,Female,IT,0.0,Telegram,51.0,7.85,6.15,6.29,7.0,6.83,0.62,5.0,False,False,3.0,22.0,25.87,7.04
38.0,Female,Education,4.87,Twitter,70.0,4.83,6.7,6.04,5.0,8.08,0.0,6.0,False,False,1.0,28.0,15.62,5.12
48.0,Female,IT,3.31,TikTok,55.0,3.76,5.6,5.39,5.0,8.17,0.0,10.0,True,False,0.0,10.0,7.5,6.14
42.0,Male,Health,4.61,TikTok,47.0,6.48,8.82,8.14,8.0,5.07,2.21,8.0,False,False,2.0,18.0,8.65,7.03
29.0,Male,Health,2.67,Facebook,49.0,10.55,5.68,5.67,1.0,5.29,0.33,1.0,False,True,2.0,15.0,15.52,5.19
57.0,Female,IT,1.7,Telegram,61.0,8.17,7.05,7.01,7.0,8.24,1.67,4.0,False,False,2.0,17.0,9.62,7.72
54.0,Female,Education,1.9,TikTok,60.0,8.51,5.81,5.26,2.0,6.68,2.14,9.0,False,False,2.0,0.0,6.29,5.46
64.0,Male,Education,1.49,Facebook,65.0,7.37,7.44,6.06,10.0,5.49,0.86,4.0,False,False,2.0,6.0,0.0,6.91
18.0,Male,Student,4.12,Facebook,66.0,7.02,3.55,2.76,5.0,5.85,0.59,9.0,False,True,5.0,30.0,16.12,2.05
59.0,Male,Finance,2.56,Facebook,65.0,6.21,4.67,4.01,3.0,8.09,0.68,6.0,False,False,0.0,13.0,6.84,3.76
38.0,Female,Finance,2.68,Telegram,64.0,5.53,6.22,6.36,7.0,7.62,1.98,10.0,False,False,1.0,3.0,22.61,7.01
55.0,Male,Student,2.95,TikTok,53.0,6.96,4.95,4.82,4.0,7.19,2.01,4.0,False,True,0.0,5.0,9.58,5.56
52.0,Female,Student,0.0,Twitter,48.0,7.84,5.4,4.89,8.0,8.41,1.67,9.0,False,False,1.0,12.0,4.19,7.03
62.0,Female,Student,1.39,Facebook,68.0,7.16,2.04,1.75,7.0,8.52,0.78,0.0,False,False,1.0,2.0,0.0,0.87
33.0,Male,Education,4.79,Twitter,68.0,5.84,7.4,6.25,7.0,7.25,0.67,1.0,False,True,4.0,3.0,11.66,6.56
25.0,Female,Student,4.58,Facebook,73.0,4.66,2.12,2.02,8.0,7.04,1.13,7.0,False,True,2.0,18.0,11.2,1.17
34.0,Female,Education,2.78,TikTok,55.0,6.59,3.71,2.93,2.0,7.3,1.91,2.0,False,False,1.0,31.0,21.18,3.73
34.0,Female,IT,0.35,TikTok,58.0,5.17,7.61,7.05,9.0,5.5,0.92,8.0,True,True,1.0,31.0,17.56,7.16
43.0,Female,Health,1.47,Facebook,60.0,5.38,4.23,3.93,4.0,7.72,1.5,10.0,False,False,4.0,13.0,11.04,2.91
34.0,Female,Finance,4.31,Telegram,68.0,7.54,3.15,3.52,3.0,7.24,1.09,9.0,False,False,0.0,16.0,4.69,4.33
55.0,Male,IT,4.87,Telegram,64.0,5.8,7.87,6.93,9.0,8.53,1.03,4.0,False,True,4.0,13.0,15.28,8.02
65.0,Male,Student,0.0,TikTok,71.0,6.78,6.82,5.48,6.0,5.33,1.79,6.0,False,False,2.0,1.0,17.78,5.51
62.0,Female,Student,5.26,Twitter,49.0,10.81,6.48,5.46,5.0,5.52,0.7,8.0,False,False,1.0,20.0,6.57,5.49
23.0,Male,Education,2.43,Instagram,57.0,7.78,4.11,2.87,9.0,7.62,0.66,3.0,False,False,1.0,9.0,7.06,2.04
63.0,Female,Student,0.69,Facebook,54.0,8.07,3.65,4.32,9.0,9.17,0.56,3.0,False,False,0.0,14.0,24.06,3.16
32.0,Female,Finance,1.12,TikTok,63.0,5.86,4.71,3.44,1.0,4.2,0.68,4.0,True,False,2.0,2.0,17.41,3.32
44.0,Female,Finance,3.35,Twitter,56.0,10.06,2.17,1.57,1.0,3.29,1.44,1.0,True,False,1.0,0.0,0.0,0.0
30.0,Male,Unemployed,0.0,Twitter,59.0,10.72,4.79,4.91,8.0,5.06,0.73,8.0,False,False,2.0,26.0,2.27,5.32
48.0,Female,Education,3.96,Facebook,56.0,8.58,7.28,5.85,4.0,5.98,0.5,7.0,True,True,1.0,2.0,14.22,3.83
52.0,Female,Finance,2.37,Twitter,66.0,5.47,8.4,7.72,8.0,5.71,1.22,3.0,True,True,4.0,16.0,19.1,7.73
23.0,Female,Student,3.35,Facebook,78.0,5.29,6.64,7.07,10.0,3.81,1.57,5.0,False,False,2.0,12.0,10.64,7.57
22.0,Female,Finance,2.91,Twitter,75.0,6.37,2.7,2.83,3.0,8.33,1.11,2.0,False,True,3.0,27.0,4.02,0.58
42.0,Female,Finance,5.08,Instagram,63.0,9.01,3.83,2.85,7.0,6.06,1.06,4.0,False,False,2.0,24.0,11.62,3.56
43.0,Male,IT,2.84,TikTok,48.0,6.22,8.18,7.3,5.0,7.72,0.69,5.0,True,True,1.0,29.0,13.67,6.37
64.0,Male,Finance,15.59,TikTok,60.0,7.42,7.08,6.28,6.0,6.14,0.45,0.0,False,False,7.0,17.0,5.88,6.08
37.0,Male,Health,3.03,Telegram,66.0,9.55,4.6,3.75,1.0,5.23,1.14,1.0,False,False,1.0,29.0,1.96,5.71
23.0,Female,IT,2.53,TikTok,63.0,9.97,8.35,7.44,3.0,6.97,0.77,6.0,False,False,1.0,22.0,14.0,6.81
35.0,Male,Unemployed,0.12,Instagram,72.0,5.65,6.03,5.57,8.0,7.58,0.94,9.0,False,False,3.0,22.0,21.81,5.58
34.0,Male,Health,4.85,Telegram,63.0,5.43,8.75,7.97,1.0,7.41,1.27,3.0,True,False,3.0,11.0,11.22,7.5
31.0,Female,Unemployed,4.02,Instagram,59.0,7.66,2.86,2.73,1.0,8.74,0.36,4.0,False,False,3.0,17.0,9.29,2.84
24.0,Female,IT,3.42,Facebook,56.0,5.99,8.67,7.67,6.0,4.86,0.0,5.0,True,False,2.0,2.0,13.05,8.12
61.0,Male,Finance,0.0,Instagram,53.0,5.67,7.25,6.8,5.0,8.86,0.52,2.0,False,False,1.0,19.0,7.42,6.37
36.0,Female,Student,3.56,TikTok,55.0,8.06,4.06,4.24,7.0,5.8,1.31,9.0,False,False,2.0,31.0,8.46,4.27
61.0,Female,Student,1.4,Instagram,64.0,8.67,4.19,2.82,4.0,4.58,2.03,9.0,False,True,2.0,7.0,12.4,3.04
52.0,Female,Health,0.0,Twitter,52.0,4.78,7.71,6.53,4.0,5.78,1.38,6.0,True,False,2.0,21.0,6.72,7.98
52.0,Female,Unemployed,1.79,Instagram,75.0,8.78,5.57,5.31,6.0,5.45,0.41,7.0,False,True,0.0,21.0,24.19,6.27
37.0,Male,Education,6.12,Twitter,63.0,4.06,4.27,3.42,7.0,7.99,0.0,7.0,False,False,0.0,0.0,19.44,3.06
53.0,Female,Unemployed,4.91,Facebook,59.0,8.62,2.34,2.78,4.0,5.82,1.16,9.0,False,False,1.0,26.0,0.0,2.32
52.0,Female,Health,3.07,Facebook,71.0,0.57,5.38,5.98,3.0,4.5,1.39,10.0,False,False,4.0,11.0,12.77,7.26
49.0,Male,Education,1.49,TikTok,57.0,7.23,2.18,2.0,2.0,4.84,1.57,6.0,False,False,0.0,20.0,0.0,1.21
65.0,Male,IT,0.7,Twitter,65.0,3.07,2.33,2.25,9.0,5.37,0.87,4.0,False,False,0.0,26.0,19.56,3.49
61.0,Male,IT,5.14,Telegram,58.0,8.85,6.4,5.89,6.0,7.62,1.25,4.0,True,False,2.0,7.0,16.2,4.91
34.0,Male,Student,8.13,Telegram,61.0,11.15,2.53,2.79,9.0,8.71,0.79,7.0,True,False,2.0,25.0,0.0,4.09
60.0,Male,Student,7.15,Facebook,52.0,8.33,5.06,4.86,1.0,8.07,0.36,3.0,False,True,3.0,29.0,10.28,5.85
18.0,Female,Education,2.29,Telegram,60.0,7.18,8.02,7.54,7.0,7.01,1.21,1.0,True,True,3.0,24.0,0.0,6.46
52.0,Male,Finance,5.49,Instagram,60.0,8.58,3.52,3.08,9.0,6.62,0.57,4.0,False,False,0.0,0.0,0.03,4.16
30.0,Female,Health,1.21,TikTok,68.0,11.02,2.48,2.07,5.0,8.18,1.92,0.0,True,True,6.0,8.0,0.0,2.54
54.0,Male,Health,4.37,Facebook,60.0,7.58,3.13,2.67,8.0,3.94,0.48,8.0,False,False,1.0,23.0,12.35,5.06
32.0,Female,Finance,1.86,TikTok,66.0,8.88,5.54,5.07,8.0,3.59,1.65,1.0,True,False,1.0,28.0,13.11,5.74
64.0,Male,Unemployed,2.76,Facebook,59.0,6.18,6.22,5.94,4.0,8.87,1.71,7.0,False,True,1.0,11.0,10.93,6.76
21.0,Male,Finance,4.9,TikTok,62.0,5.26,8.63,8.55,8.0,4.1,0.85,4.0,False,False,1.0,26.0,19.12,10.0
57.0,Male,IT,0.23,Facebook,71.0,6.52,8.74,8.5,5.0,7.23,0.89,7.0,False,False,2.0,25.0,26.45,10.0
21.0,Female,Finance,1.76,TikTok,60.0,7.97,4.65,4.52,5.0,6.09,2.16,9.0,False,False,2.0,7.0,11.97,4.33
62.0,Male,Unemployed,2.02,Telegram,56.0,3.68,7.72,6.48,9.0,7.09,1.06,1.0,False,False,2.0,6.0,5.37,8.12
43.0,Female,Health,2.33,Facebook,73.0,9.3,7.43,7.19,9.0,7.03,1.54,6.0,False,False,0.0,26.0,5.54,6.3
45.0,Male,IT,2.78,TikTok,50.0,3.65,3.23,3.71,3.0,7.08,0.86,1.0,True,False,2.0,23.0,14.55,2.21
49.0,Male,Health,4.04,Instagram,55.0,5.18,4.64,3.66,7.0,7.17,1.19,2.0,False,False,1.0,8.0,25.57,3.47
62.0,Female,IT,1.5,Twitter,76.0,7.36,2.07,2.61,7.0,6.78,0.81,1.0,False,False,0.0,4.0,3.69,2.94
19.0,Male,Finance,0.31,Telegram,59.0,6.43,4.55,4.32,10.0,4.73,0.0,1.0,True,False,3.0,20.0,8.0,2.73
20.0,Female,Unemployed,5.52,TikTok,57.0,6.06,8.81,8.69,1.0,8.42,1.52,0.0,False,True,3.0,2.0,11.47,9.58
25.0,Male,Finance,3.39,Twitter,54.0,2.12,5.42,4.98,10.0,8.43,1.8,3.0,True,True,5.0,24.0,0.0,4.95
41.0,Female,Finance,3.9,Telegram,71.0,3.52,3.19,3.26,1.0,4.31,1.96,5.0,False,False,5.0,20.0,5.85,4.51
60.0,Male,Education,4.99,TikTok,62.0,9.81,8.33,6.61,9.0,8.07,1.61,8.0,True,True,1.0,11.0,12.01,6.04
56.0,Female,Education,5.98,Telegram,47.0,6.97,8.45,7.93,3.0,6.74,1.0,7.0,False,False,4.0,3.0,3.44,7.67
59.0,Male,Health,2.68,Instagram,68.0,4.73,4.16,3.67,10.0,9.81,1.56,9.0,False,False,0.0,24.0,9.47,1.62
52.0,Male,Finance,5.64,TikTok,62.0,6.69,3.1,1.79,4.0,6.13,0.64,2.0,False,True,0.0,25.0,13.16,1.23
55.0,Male,Education,0.42,Twitter,60.0,7.23,8.18,7.97,1.0,8.17,0.47,8.0,True,False,5.0,25.0,15.21,7.33
35.0,Male,Unemployed,3.09,Facebook,57.0,9.32,5.72,4.81,7.0,6.54,1.09,5.0,False,True,3.0,17.0,11.65,2.99
56.0,Male,Student,4.23,Instagram,56.0,6.96,2.17,2.02,5.0,7.95,1.19,10.0,False,True,4.0,6.0,8.13,2.59
60.0,Female,Unemployed,2.2,Telegram,59.0,7.59,4.49,4.1,8.0,3.97,1.64,5.0,False,True,1.0,1.0,11.95,3.94
62.0,Male,Student,5.23,Twitter,67.0,4.78,2.59,2.21,10.0,7.25,0.7,9.0,False,False,3.0,25.0,7.61,1.92
40.0,Male,Student,7.04,Instagram,81.0,6.3,3.84,3.92,10.0,7.35,0.61,4.0,False,False,2.0,16.0,17.88,5.52
22.0,Female,Health,5.86,Twitter,73.0,5.51,4.99,4.99,8.0,7.51,1.56,4.0,True,False,3.0,16.0,22.21,5.04
47.0,Male,IT,3.53,TikTok,67.0,11.65,5.13,4.67,10.0,8.42,0.0,5.0,False,False,0.0,22.0,5.85,2.67
23.0,Male,Education,4.47,Telegram,59.0,8.38,5.13,3.99,8.0,3.46,0.86,2.0,False,True,2.0,19.0,15.31,3.06
21.0,Male,Education,0.0,TikTok,61.0,10.0,2.46,3.86,6.0,5.89,1.7,0.0,False,True,0.0,14.0,21.6,2.88
46.0,Female,Health,2.43,Instagram,61.0,9.99,5.11,5.26,1.0,5.95,0.27,4.0,False,False,0.0,1.0,13.61,5.46
59.0,Male,Student,0.5,Facebook,69.0,6.59,6.09,5.23,10.0,7.82,0.98,2.0,False,True,2.0,9.0,0.0,6.09
35.0,Female,Unemployed,4.82,Twitter,44.0,5.05,7.76,6.77,2.0,6.52,1.72,7.0,False,True,1.0,12.0,0.0,7.37
32.0,Male,Education,4.12,Twitter,43.0,4.55,2.43,1.76,4.0,5.54,0.0,7.0,True,False,5.0,6.0,15.16,3.53
54.0,Female,Finance,3.46,TikTok,49.0,4.17,8.57,8.71,7.0,5.5,1.08,5.0,True,False,2.0,0.0,5.13,8.34
27.0,Male,Finance,5.39,Instagram,60.0,8.57,4.25,4.17,1.0,9.02,1.22,10.0,False,False,1.0,22.0,18.29,6.45
65.0,Male,Education,6.17,Twitter,63.0,8.13,5.93,4.58,10.0,5.67,1.56,7.0,True,False,3.0,1.0,2.45,6.03
59.0,Male,Education,4.65,Instagram,75.0,5.83,2.21,2.18,6.0,8.17,0.0,3.0,False,False,0.0,21.0,10.01,2.36
60.0,Female,Education,3.83,Facebook,61.0,10.66,7.97,6.88,4.0,8.12,2.33,1.0,True,False,3.0,6.0,7.96,7.08
34.0,Male,Health,4.34,Facebook,62.0,6.63,5.07,3.59,5.0,7.9,1.07,9.0,False,False,2.0,22.0,14.17,1.88
49.0,Female,Finance,1.91,Telegram,51.0,4.64,7.96,7.45,8.0,5.03,0.11,6.0,True,False,0.0,21.0,0.0,9.51
21.0,Male,Finance,6.06,Facebook,45.0,6.14,7.56,6.55,6.0,6.95,0.21,0.0,True,False,3.0,3.0,4.81,6.75
21.0,Male,Unemployed,2.24,Instagram,71.0,2.41,8.41,8.29,5.0,7.81,0.0,4.0,False,False,1.0,1.0,12.94,8.24
58.0,Male,IT,2.64,TikTok,51.0,6.42,7.54,7.11,6.0,5.02,1.52,2.0,False,True,1.0,21.0,25.87,6.9
39.0,Female,Unemployed,1.81,Telegram,54.0,2.13,3.66,3.25,8.0,5.01,1.14,5.0,True,True,2.0,24.0,18.37,3.12
23.0,Female,IT,2.25,Twitter,67.0,8.02,5.91,6.1,3.0,6.02,0.3,1.0,True,False,3.0,22.0,8.51,5.02
52.0,Female,Education,3.11,TikTok,57.0,9.85,3.89,3.01,6.0,9.21,0.62,0.0,False,True,3.0,0.0,1.38,1.23
39.0,Female,Education,0.44,TikTok,52.0,7.05,8.2,7.95,2.0,7.52,1.7,0.0,False,False,2.0,18.0,6.9,8.66
18.0,Male,Student,3.5,Instagram,67.0,6.95,7.65,6.95,1.0,7.95,2.01,3.0,False,False,2.0,29.0,0.0,8.36
65.0,Female,Student,5.38,TikTok,52.0,7.67,3.83,2.99,10.0,4.87,1.69,10.0,False,False,1.0,22.0,6.96,3.07
59.0,Female,Unemployed,1.78,Instagram,57.0,4.85,4.54,3.99,1.0,5.53,1.0,10.0,False,True,1.0,22.0,14.72,5.43
20.0,Male,Education,8.14,Instagram,58.0,7.56,7.8,7.14,7.0,3.77,1.26,9.0,True,True,3.0,1.0,12.13,7.39
26.0,Male,Student,4.38,TikTok,69.0,5.9,3.28,2.83,6.0,7.04,2.43,2.0,False,True,1.0,10.0,0.0,3.7
29.0,Female,IT,4.31,TikTok,53.0,7.74,2.2,2.59,3.0,8.82,1.63,9.0,True,False,3.0,14.0,15.19,4.3
40.0,Male,Student,5.02,Facebook,72.0,8.73,8.7,7.16,6.0,4.75,1.0,2.0,True,False,1.0,22.0,7.07,7.4
31.0,Female,Health,4.14,Instagram,51.0,5.95,4.42,4.0,2.0,7.14,0.1,8.0,False,False,2.0,9.0,7.15,2.76
50.0,Male,IT,4.13,TikTok,66.0,9.64,5.47,4.69,4.0,8.31,0.96,10.0,False,False,1.0,23.0,14.85,3.18
35.0,Female,Finance,3.71,Telegram,52.0,9.53,4.23,4.1,7.0,7.74,1.26,3.0,False,True,3.0,28.0,3.27,4.34
58.0,Female,Education,3.65,Instagram,59.0,3.55,6.62,6.33,8.0,8.28,0.2,2.0,True,True,5.0,10.0,13.53,6.9
26.0,Male,Education,2.45,Instagram,51.0,3.55,3.77,3.02,6.0,5.58,0.24,2.0,False,True,1.0,23.0,9.07,3.81
40.0,Female,Unemployed,2.86,TikTok,46.0,7.31,2.86,3.12,8.0,10.0,1.02,10.0,False,False,1.0,29.0,15.09,3.18
36.0,Male,Education,4.72,Twitter,61.0,4.44,7.91,6.59,9.0,5.65,0.68,9.0,False,False,1.0,23.0,11.77,5.23
22.0,Female,Student,4.88,Instagram,58.0,11.36,2.3,1.49,6.0,6.06,0.31,2.0,False,False,2.0,24.0,0.0,0.7
40.0,Female,Finance,1.54,Telegram,57.0,8.06,4.04,3.38,6.0,5.06,1.47,5.0,False,False,2.0,8.0,11.18,3.51
47.0,Male,Unemployed,3.85,Instagram,68.0,2.85,4.67,4.29,8.0,6.47,1.17,10.0,False,False,4.0,13.0,4.66,2.52
51.0,Female,Unemployed,5.59,Twitter,77.0,6.44,7.2,6.04,7.0,4.2,0.07,0.0,False,True,2.0,29.0,4.76,6.18
62.0,Female,Health,0.58,TikTok,55.0,8.71,5.15,4.86,10.0,8.83,0.9,4.0,False,False,0.0,11.0,15.77,5.31
64.0,Male,Education,4.78,TikTok,61.0,9.53,3.08,2.66,7.0,7.22,1.65,7.0,True,False,4.0,14.0,19.3,0.63
42.0,Male,Student,1.38,Facebook,62.0,4.95,7.57,7.19,1.0,9.34,0.92,5.0,False,True,1.0,4.0,0.39,7.3
27.0,Female,Finance,5.23,Instagram,62.0,7.61,8.06,6.58,2.0,6.02,1.32,5.0,True,False,1.0,17.0,10.72,6.65
59.0,Female,IT,9.91,Facebook,59.0,9.93,8.78,7.46,4.0,8.06,1.86,5.0,False,False,2.0,27.0,0.0,7.81
63.0,Male,Health,3.34,Twitter,49.0,7.41,8.86,8.01,3.0,6.45,2.35,2.0,True,False,1.0,17.0,20.16,9.61
58.0,Female,IT,0.64,Telegram,57.0,9.46,2.18,1.46,1.0,7.75,1.52,2.0,False,False,2.0,13.0,7.44,0.8
42.0,Female,Finance,1.47,Twitter,56.0,6.18,2.82,2.71,6.0,7.7,1.84,6.0,False,False,2.0,8.0,17.39,2.72
31.0,Male,Student,5.27,Instagram,57.0,8.11,8.37,7.24,6.0,5.83,2.34,7.0,False,False,3.0,11.0,10.33,7.45
52.0,Female,Health,1.95,Telegram,50.0,5.0,8.36,7.87,3.0,5.04,1.95,6.0,True,False,1.0,23.0,12.27,8.13
28.0,Male,Health,3.84,Instagram,55.0,8.46,7.69,6.78,6.0,8.13,2.78,4.0,False,False,1.0,20.0,1.67,6.76
38.0,Female,Finance,0.0,Facebook,58.0,4.1,4.2,3.68,4.0,6.44,1.44,2.0,True,False,3.0,8.0,5.56,4.45
